actual_current_dm3058_ma,output_duty_pct,adc1_raw,adc1_voltage_v,adc2_raw,adc2_voltage_v,set_current_ma,stm32_reported_current_ma,source_file,source_row,time_s,sample_count,dropped_each_side
5.0837,0.9,34,0.029,,,5,4.891,low_current_sweep_start_duty.csv,52,9.91172,64,16
5.08375,0.9,34,0.029,,,5,4.891,low_current_sweep_start_duty.csv,55,11.8418,64,16
5.09934,0.9,38,0.033,,,5,5.467,low_current_test_after_adaptive.csv,55,9.44512,64,16
5.11243,1,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,33,7.99474,64,16
5.1782,0.9,38,0.033,,,5,5.467,low_current_test_after_adaptive.csv,38,10.8939,64,16
5.19234,0.9,38,0.033,,,5,5.467,low_current_test_after_adaptive.csv,9,5.41739,64,16
5.19237,0.9,34,0.029,,,5,4.891,low_current_sweep_start_duty.csv,42,3.62805,64,16
5.24928,1,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,19,11.7009,64,16
5.26408,1,34,0.029,,,5,4.891,low_current_test_after_adaptive.csv,27,4.12756,64,16
5.2735,1,34,0.029,,,5,4.891,low_current_sweep_start_duty.csv,56,12.3258,64,16
5.39784,1,34,0.029,,,5,4.891,low_current_sweep_start_duty.csv,49,7.97834,64,16
8.10494,1.4,57,0.049,,,8,8.541,low_current_sweep_correction_curve.csv,62,4.59473,64,16
8.10516,1.4,57,0.049,,,8,8.541,low_current_sweep_correction_curve.csv,70,9.42748,64,16
8.10532,1.4,57,0.049,,,8,8.541,low_current_sweep_correction_curve.csv,65,6.52818,64,16
8.10534,1.5,52,0.045,,,8,7.792,low_current_sweep_correction_curve.csv,73,11.3609,64,16
8.10537,1.4,53,0.046,,,8,7.942,low_current_sweep_correction_curve.csv,63,5.07805,64,16
8.10538,1.4,53,0.046,,,8,7.942,low_current_sweep_correction_curve.csv,66,7.01115,64,16
8.10559,1.4,53,0.046,,,8,7.942,low_current_sweep_correction_curve.csv,71,9.9107,64,16
8.10566,1.4,52,0.045,,,8,7.792,low_current_sweep_correction_curve.csv,74,11.844,64,16
8.2068,1.4,53,0.046,,,8,7.942,low_current_sweep_correction_curve.csv,75,12.327,64,16
8.20781,1.4,53,0.046,,,8,7.942,low_current_sweep_correction_curve.csv,64,5.56127,64,16
8.40827,1.4,57,0.049,,,8,8.541,low_current_sweep_correction_curve.csv,68,7.97833,64,16
8.4127,1.4,53,0.046,,,8,7.942,low_current_sweep_correction_curve.csv,67,7.49446,64,16
8.5723,1.5,53,0.046,,,8,7.624,low_current_test_after_adaptive.csv,64,3.4218,64,16
8.71908,1.5,53,0.046,,,8,7.942,low_current_sweep_correction_curve.csv,61,4.11176,64,16
8.71994,1.4,53,0.046,,,8,7.942,low_current_sweep_correction_curve.csv,69,8.94422,64,16
8.72005,1.4,53,0.046,,,8,7.942,low_current_sweep_correction_curve.csv,72,10.8781,64,16
8.72628,1.5,55,0.048,,,8,7.912,low_current_test_after_adaptive.csv,74,9.70563,64,16
8.72665,1.5,57,0.049,,,8,8.2,low_current_test_after_adaptive.csv,68,5.83602,64,16
8.72688,1.5,61,0.053,,,8,8.775,low_current_test_after_adaptive.csv,76,11.1559,64,16
8.72715,1.5,57,0.049,,,8,8.2,low_current_test_after_adaptive.csv,69,6.80342,64,16
8.72716,1.6,53,0.046,,,8,7.624,low_current_sweep_start_duty.csv,63,4.59123,64,16
8.72738,1.5,57,0.049,,,8,8.2,low_current_sweep_start_duty.csv,64,5.07095,64,16
8.72746,1.6,53,0.046,,,8,7.624,low_current_sweep_start_duty.csv,66,6.52475,64,16
8.72769,1.5,57,0.049,,,8,8.2,low_current_sweep_start_duty.csv,65,5.56124,64,16
8.72776,1.5,57,0.049,,,8,8.2,low_current_test_after_adaptive.csv,65,4.38861,64,16
8.72777,1.5,57,0.049,,,8,8.2,low_current_sweep_start_duty.csv,67,7.01107,64,16
8.72789,1.5,57,0.049,,,8,8.2,low_current_sweep_start_duty.csv,76,12.3278,64,16
8.72794,1.5,57,0.049,,,8,8.2,low_current_sweep_start_duty.csv,71,9.42804,64,16
8.72807,1.5,57,0.049,,,8,8.2,low_current_sweep_start_duty.csv,68,7.49113,64,16
8.72807,1.5,57,0.049,,,8,8.2,low_current_sweep_start_duty.csv,74,11.3609,64,16
8.72811,1.5,57,0.049,,,8,8.2,low_current_sweep_start_duty.csv,70,8.94512,64,16
8.72825,1.5,57,0.049,,,8,8.2,low_current_sweep_start_duty.csv,72,9.91089,64,16
8.77508,1.6,52,0.045,,,8,7.48,low_current_test_after_adaptive.csv,66,4.86865,64,16
8.82062,1.5,57,0.049,,,8,8.2,low_current_test_after_adaptive.csv,75,10.1843,64,16
8.82837,1.5,61,0.053,,,8,8.775,low_current_test_after_adaptive.csv,71,7.76855,64,16
8.83197,1.6,53,0.046,,,8,7.624,low_current_sweep_start_duty.csv,75,11.841,64,16
8.91432,1.6,53,0.046,,,8,7.624,low_current_sweep_start_duty.csv,69,7.97829,64,16
8.91803,1.6,52,0.045,,,8,7.48,low_current_test_after_adaptive.csv,67,5.35515,64,16
8.93258,1.6,52,0.045,,,8,7.48,low_current_sweep_start_duty.csv,73,10.3948,64,16
9.15714,1.5,61,0.053,,,8,8.775,low_current_test_after_adaptive.csv,78,12.1188,64,16
9.23992,1.5,57,0.049,,,8,8.2,low_current_test_after_adaptive.csv,70,7.28723,64,16
9.28069,1.5,57,0.049,,,8,8.2,low_current_test_after_adaptive.csv,77,11.6382,64,16
9.34247,1.5,61,0.053,,,8,8.775,low_current_test_after_adaptive.csv,73,9.22195,64,16
9.34261,1.5,57,0.049,,,8,8.2,low_current_test_after_adaptive.csv,72,8.73514,64,16
9.94351,1.8,59,0.051,,,10,9.306,low_current_sweep_correction_curve.csv,85,6.52547,64,16
9.94362,1.7,65,0.057,,,10,10.252,low_current_sweep_correction_curve.csv,84,6.04261,64,16
9.94384,1.7,59,0.051,,,10,9.306,low_current_sweep_correction_curve.csv,88,8.46224,64,16
10.0457,1.8,62,0.053,,,10,9.779,low_current_sweep_correction_curve.csv,82,4.59344,64,16
10.0464,1.8,62,0.053,,,10,9.779,low_current_sweep_correction_curve.csv,93,11.3622,64,16
10.0495,1.8,59,0.051,,,10,9.306,low_current_sweep_correction_curve.csv,91,9.9081,64,16
10.1149,1.8,59,0.051,,,10,9.306,low_current_sweep_correction_curve.csv,86,7.0097,64,16
10.1275,1.8,59,0.051,,,10,9.306,low_current_sweep_correction_curve.csv,83,5.07582,64,16
10.1278,1.8,59,0.051,,,10,9.306,low_current_sweep_correction_curve.csv,94,11.8446,64,16
10.1377,1.8,59,0.051,,,10,9.306,low_current_sweep_correction_curve.csv,87,7.49252,64,16
10.2517,1.8,63,0.055,,,10,9.937,low_current_sweep_correction_curve.csv,90,9.42507,64,16
10.5308,1.7,65,0.057,,,10,10.252,low_current_sweep_correction_curve.csv,89,8.94271,64,16
10.5597,1.7,65,0.057,,,10,10.252,low_current_sweep_correction_curve.csv,81,4.11191,64,16
10.5607,1.7,61,0.053,,,10,9.622,low_current_sweep_correction_curve.csv,92,10.8746,64,16
10.5649,1.9,63,0.055,,,10,9.063,low_current_sweep_latest.csv,129,13.1057,64,16
10.5656,2,62,0.053,,,10,8.918,low_current_test_after_adaptive.csv,93,9.44502,64,16
10.5659,2,63,0.055,,,10,9.063,low_current_test_after_adaptive.csv,126,6.54562,64,16
10.5661,2,62,0.053,,,10,8.918,low_current_test_after_adaptive.csv,123,4.61196,64,16
10.5661,2,63,0.055,,,10,9.063,low_current_test_after_adaptive.csv,133,10.8935,64,16
10.5664,1.9,66,0.058,,,10,9.525,low_current_test_after_adaptive.csv,122,4.1291,64,16
10.5664,1.9,67,0.058,,,10,9.68,low_current_test_after_adaptive.csv,130,8.96191,64,16
10.589,1.9,62,0.053,,,10,8.918,low_current_test_after_adaptive.csv,127,7.02749,64,16
10.5906,1.8,69,0.06,,,10,10.001,low_current_sweep_latest.csv,132,14.5623,64,16
