cmd,t,set,stm,err,adc1,adc1v,smp,drop,rej,out,dmm
15,1.992401361465454,10,10.001,-0.001,69,0.06,64,16,0,1.9,11.18176
15,2.472522735595703,10,9.525,0.475,66,0.058,64,16,0,2.0,10.76306
15,2.961285352706909,10,8.918,1.082,62,0.053,64,16,0,2.0,10.955919999999999
15,3.929518222808838,10,10.001,-0.001,69,0.06,64,16,0,1.8,11.181510000000001
15,4.411346912384033,10,10.65,-0.65,73,0.063,64,16,0,1.8,11.182020000000001
15,4.892361402511597,10,10.65,-0.65,73,0.063,64,16,0,1.9,11.181949999999999
15,5.37759804725647,10,10.65,-0.65,73,0.063,64,16,0,1.8,11.08214
15,6.344274997711182,10,11.295,-1.295,77,0.068,64,16,0,1.8,11.18148
15,6.828205823898315,10,9.525,0.475,66,0.058,64,16,0,2.0,10.59212
15,7.30699348449707,10,9.063,0.937,63,0.055,64,16,0,2.0,10.974060000000001
15,7.794997215270996,10,9.063,0.937,63,0.055,64,16,0,1.9,10.74901
15,8.761150360107422,10,10.001,-0.001,69,0.06,64,16,0,1.8,11.79649
15,9.242290496826172,10,11.295,-1.295,77,0.068,64,16,0,1.8,11.07923
15,9.72262454032898,10,10.65,-0.65,73,0.063,64,16,0,1.8,11.15387
15,10.692564487457275,10,11.295,-1.295,77,0.068,64,16,0,1.8,11.18127
15,11.177757501602173,10,10.65,-0.65,73,0.063,64,16,0,1.8,11.181750000000001
15,11.652232885360718,10,10.65,-0.65,73,0.063,64,16,0,1.9,11.18157
15,12.144823789596558,10,9.525,0.475,66,0.058,64,16,0,2.0,11.27527
15,13.105696678161621,10,9.063,0.937,63,0.055,64,16,0,1.9,10.56495
15,13.591975927352905,10,10.001,-0.001,69,0.06,64,16,0,1.9,11.181999999999999
15,14.075908422470093,10,9.525,0.475,66,0.058,64,16,0,2.0,11.07598
15,14.562346458435059,10,10.001,-0.001,69,0.06,64,16,0,1.8,10.59059
15,15.522268533706665,10,9.68,0.32,67,0.058,64,16,0,1.9,11.181949999999999
15,16.002105236053467,10,9.525,0.475,66,0.058,64,16,0,1.9,11.1822
